"year"	"district"	"name"	"party"	"winning_margin"	"winner_flag"
"2014"	1	"VanDeaver"	"R"	8.7	"W"
"2014"	1	"Lavender"	"R"	8.7	"L"
"2024"	1	"VanDeaver"	"R"	2.5	"W"
"2024"	1	"Spencer"	"R"	2.5	"L"
"2024"	1	"Huls"	"R"	2.5	"L"
"2016"	2	"Flynn"	"R"	1.99	"W"
"2016"	2	"Slaton"	"R"	1.99	"L"
"2018"	2	"Flynn"	"R"	3.43	"W"
"2018"	2	"Slaton"	"R"	3.43	"L"
"2020"	2	"Flynn"	"R"	8.62	"W"
"2020"	2	"Slaton"	"R"	8.62	"L"
"2020"	2	"Collins"	"R"	8.62	"L"
"2012"	4	"Gooden"	"R"	8.89	"W"
"2012"	4	"Spitzer"	"R"	8.89	"L"
"2014"	4	"Spitzer"	"R"	2.09	"W"
"2014"	4	"Gooden"	"R"	2.09	"L"
"2016"	4	"Gooden"	"R"	3.59	"W"
"2016"	4	"Spitzer"	"R"	3.59	"L"
"2016"	8	"Cook"	"R"	0.79	"W"
"2016"	8	"McNutt"	"R"	0.79	"L"
"2018"	8	"Harris"	"R"	5.63	"W"
"2018"	8	"McNutt"	"R"	5.63	"L"
"2018"	8	"Timmerman"	"R"	5.63	"L"
"2012"	9	"Paddie"	"R"	4.34	"W"
"2012"	9	"Christian"	"R"	4.34	"L"
"2014"	10	"Fabby"	"R"	2.27	"W"
"2014"	10	"Wray"	"R"	2.27	"L"
"2014"	10	"Ellzey"	"R"	2.27	"L"
"2014"	10	"Burge"	"R"	2.27	"L"
"2012"	11	"Hopson"	"R"	0.82	"W"
"2012"	11	"Clardy"	"R"	0.82	"L"
"2012"	11	"Sevilla"	"R"	0.82	"L"
"2012"	12	"Anderson"	"R"	5.78	"W"
"2012"	12	"Kacal"	"R"	5.78	"L"
"2012"	12	"Scotti"	"R"	5.78	"L"
"2012"	12	"Delasandro"	"R"	5.78	"L"
"2012"	12	"Tetens"	"R"	5.78	"L"
"2022"	12	"Kacal"	"R"	5.15	"W"
"2022"	12	"Bius"	"R"	5.15	"L"
"2022"	12	"Hamm"	"R"	5.15	"L"
"2024"	12	"Wharton"	"R"	2.34	"W"
"2024"	12	"Bius"	"R"	2.34	"L"
"2024"	12	"Slocum"	"R"	2.34	"L"
"2018"	13	"Wolfskill"	"R"	2.16	"W"
"2018"	13	"Leman"	"R"	2.16	"L"
"2018"	13	"Stall"	"R"	2.16	"L"
"2018"	13	"McCarthy"	"R"	2.16	"L"
"2018"	13	"Young"	"R"	2.16	"L"
"2022"	13	"Orr"	"R"	2.56	"W"
"2022"	13	"Wilson"	"R"	2.56	"L"
"2014"	16	"Seago"	"R"	1.77	"W"
"2014"	16	"Metcalf"	"R"	1.77	"L"
"2014"	16	"Ham"	"R"	1.77	"L"
"2014"	16	"Louie"	"R"	1.77	"L"
"2014"	16	"Simonsen"	"R"	1.77	"L"
"2014"	16	"Millsaps"	"R"	1.77	"L"
"2022"	17	"Gerdes"	"R"	2.24	"W"
"2022"	17	"Pape"	"R"	2.24	"L"
"2022"	17	"Glass"	"R"	2.24	"L"
"2022"	17	"Rutledge"	"R"	2.24	"L"
"2022"	17	"Bezner"	"R"	2.24	"L"
"2016"	18	"Strahan"	"R"	2.33	"W"
"2016"	18	"Bailes"	"R"	2.33	"L"
"2016"	18	"Hinch"	"R"	2.33	"L"
"2016"	18	"Morrison"	"R"	2.33	"L"
"2016"	18	"Turner"	"R"	2.33	"L"
"2016"	18	"Brookshire"	"R"	2.33	"L"
"2012"	19	"White"	"R"	9.01	"W"
"2012"	19	"Hamilton"	"R"	9.01	"L"
"2022"	19	"Troxclair"	"R"	2.8	"W"
"2022"	19	"Berry"	"R"	2.8	"L"
"2022"	19	"Devine"	"R"	2.8	"L"
"2022"	19	"Hopkins"	"R"	2.8	"L"
"2024"	19	"Troxclair"	"R"	9.1	"W"
"2024"	19	"Biedermann"	"R"	9.1	"L"
"2024"	19	"Campos"	"R"	9.1	"L"
"2016"	20	"Wilson"	"R"	8.52	"W"
"2016"	20	"Farney"	"R"	8.52	"L"
"2024"	21	"Covey"	"R"	3.01	"W"
"2024"	21	"Phelan"	"R"	3.01	"L"
"2024"	21	"Davis"	"R"	3.01	"L"
"2022"	22	"Trahan"	"D"	5.7	"W"
"2022"	22	"Hayes"	"D"	5.7	"L"
"2022"	22	"Weber"	"D"	5.7	"L"
"2012"	23	"Faircloth"	"R"	6.99	"W"
"2012"	23	"Wallace"	"R"	6.99	"L"
"2012"	23	"Delgado"	"R"	6.99	"L"
"2022"	23	"Gurski"	"R"	3.27	"W"
"2022"	23	"Leo-Wilson"	"R"	3.27	"L"
"2022"	23	"Longoria"	"R"	3.27	"L"
"2022"	23	"Smith"	"R"	3.27	"L"
"2020"	25	"Garrett"	"R"	6.4	"W"
"2020"	25	"Vasut"	"R"	6.4	"L"
"2020"	25	"Brimage"	"R"	6.4	"L"
"2020"	25	"Seth"	"R"	6.4	"L"
"2020"	25	"Thames"	"R"	6.4	"L"
"2020"	26	"Lalani"	"D"	2.11	"W"
"2020"	26	"DeMerchant"	"D"	2.11	"L"
"2020"	26	"Oberoi"	"D"	2.11	"L"
"2020"	26	"Allen"	"D"	2.11	"L"
"2020"	26	"Morgan"	"R"	9.01	"W"
"2020"	26	"Jetton"	"R"	9.01	"L"
"2020"	26	"Chan"	"R"	9.01	"L"
"2016"	27	"Bryant"	"R"	4.99	"W"
"2016"	27	"Walker"	"R"	4.99	"L"
"2020"	27	"Virippan"	"R"	8.24	"W"
"2020"	27	"Seth"	"R"	8.24	"L"
"2024"	29	"Barry"	"R"	4.34	"W"
"2024"	29	"Kamkar"	"R"	4.34	"L"
"2024"	29	"Pacheco"	"R"	4.34	"L"
